,Dis,Gen
1,9.90351697018272,-0.0002431462926324457
2,7.957435156169691,-0.042129240930080414
3,-2.580828014173006,-0.5264998078346252
4,-30.746251758776214,-2.579000949859619
5,-85.06956120541221,-8.236111640930176
6,-164.75448327315482,-20.707895278930664
7,-248.9086247494346,-43.06730270385742
8,-302.6317965858861,-75.04812622070312
9,-328.7346817819696,-101.8419189453125
10,-324.99944827431125,-121.46086120605469
11,-351.275166561729,-131.2248077392578
12,-357.8480883146587,-141.58042907714844
13,-366.6755965383429,-150.15435791015625
14,-375.7550851922286,-167.71151733398438
15,-382.0919607062089,-181.29608154296875
16,-399.1424672980058,-194.2777557373047
17,-419.0982216282895,-204.96339416503906
18,-436.7726568924753,-229.10440063476562
19,-455.7607903731497,-243.72689819335938
20,-453.60476042094984,-254.17210388183594
21,-483.4151498894942,-264.4569396972656
22,-482.14317241467927,-258.0751037597656
23,-496.2095947265625,-264.3896789550781
24,-505.77956028988484,-254.49066162109375
25,-506.2727934184827,-256.7434997558594
26,-518.0460558439556,-251.1298828125
27,-508.1788538882607,-252.03900146484375
28,-506.7524478310033,-243.7219696044922
29,-520.1357341565584,-238.755615234375
30,-515.9460513466283,-251.16224670410156
31,-522.2061510587994,-251.3416748046875
32,-513.8883490311472,-241.29002380371094
33,-506.1858022589433,-252.19085693359375
34,-516.7812483938117,-244.71873474121094
35,-504.12082230417354,-255.38812255859375
36,-513.4575259560033,-247.19703674316406
37,-531.2361402009662,-235.78758239746094
38,-520.6662308542352,-240.523681640625
39,-532.1544719495272,-240.56893920898438
40,-521.0131209524054,-231.2035675048828
41,-509.90771805612667,-249.83660888671875
42,-500.0300357216283,-265.3756103515625
43,-501.65586772717927,-240.82305908203125
44,-503.70666664525083,-251.2093963623047
45,-510.3659555535567,-257.515380859375
46,-497.83654945775083,-253.77407836914062
47,-491.39906712582234,-236.28192138671875
48,-514.8355070415296,-253.05804443359375
49,-491.06496549907484,-249.39012145996094
50,-504.2215142501028,-242.34967041015625
51,-483.72708932976974,-251.09866333007812
52,-503.7143490439967,-252.30528259277344
53,-497.66674965306333,-246.99618530273438
54,-491.36342741313734,-270.7232666015625
55,-489.5349779630962,-260.5751037597656
56,-486.90234696237667,-267.8980407714844
57,-478.69783742804276,-261.9996032714844
58,-476.3143053556743,-254.2054443359375
59,-478.7490491365132,-250.51559448242188
60,-473.8652777420847,-263.6202392578125
61,-468.65564446700245,-235.25634765625
62,-472.6010999177632,-252.7523956298828
63,-458.69475675884047,-240.72320556640625
64,-464.5711959035773,-246.80938720703125
65,-463.78794459292766,-245.823486328125
66,-470.82730584395557,-257.15142822265625
67,-466.8130541349712,-249.36587524414062
68,-449.18080219469573,-241.68380737304688
69,-461.5371864720395,-246.07418823242188
70,-450.79690712376646,-259.38885498046875
71,-454.0085931075247,-248.83827209472656
72,-453.2190310829564,-263.79339599609375
73,-447.60074655633224,-249.79022216796875
74,-457.0076454564145,-248.5489044189453
75,-438.9557286312706,-238.954345703125
76,-459.2078921669408,-232.90081787109375
77,-439.8962884200247,-252.06309509277344
78,-436.5299666555304,-241.2564697265625
79,-433.12854967619245,-238.56509399414062
80,-441.14183285361844,-245.33935546875
81,-437.37274973016036,-228.43479919433594
82,-431.7262926603618,-257.7479553222656
83,-436.3943095960115,-260.18115234375
84,-442.43800755550984,-231.5601806640625
85,-443.22935244911594,-238.48080444335938
86,-429.6248715049342,-224.97796630859375
87,-428.5376458418997,-235.56446838378906
88,-412.4309194464433,-227.94166564941406
89,-429.2696597450658,-223.30282592773438
90,-413.3323717619243,-210.47259521484375
91,-417.0978779039885,-225.78018188476562
92,-411.58084588301807,-223.2933349609375
93,-408.0919398257607,-228.7233428955078
94,-399.0966009842722,-215.8626708984375
95,-407.9198961759868,-253.67515563964844
96,-398.33298371967516,-246.9860382080078
97,-398.5192951403166,-213.16909790039062
98,-404.82504593698604,-219.3562774658203
99,-395.47621235094573,-252.81365966796875
100,-393.09624441046464,-225.41990661621094
101,-385.6458740234375,-236.3282470703125
102,-381.32466848273026,-207.56558227539062
103,-388.0674599095395,-218.51602172851562
104,-382.2078054327714,-230.89739990234375
105,-383.4188826711554,-221.5402374267578
106,-379.8033864874589,-246.28041076660156
107,-381.22040437397203,-211.35948181152344
108,-381.34419170178865,-246.02304077148438
109,-372.034523411801,-251.49423217773438
110,-378.4866365131579,-249.65032958984375
