,Dis,Gen
1,-0.8587634437962582,0.023557706212159246
2,-48.89911834817184,-5.23448650042216
3,-72.11184727518182,-12.255935986836752
4,-100.11516028956363,-20.60842800140381
5,-114.0170360364412,-35.875921885172524
6,-121.81256294250488,-41.73016611735026
7,-128.37037467956543,-38.713722229003906
8,-128.26066478930022,-35.59790929158529
9,-128.59861052663703,-36.314046223958336
10,-121.06625838028758,-32.917637507120766
11,-125.33565892671284,-28.20179049173991
12,-123.05482523064865,-38.6005007425944
13,-122.05697300559596,-41.08625284830729
14,-121.18417780022872,-40.951708475748696
15,-117.38933884470086,-42.14081827799479
16,-116.14154213353207,-42.16887664794922
17,-115.30114224082546,-43.324395497639976
18,-114.033026243511,-43.8401247660319
19,-112.69038913124486,-44.229531606038414
20,-102.38354000292327,-34.20503489176432
21,-108.65268968280994,-35.9324696858724
22,-108.35553249559905,-41.63274256388346
23,-106.41981335690147,-43.67473220825195
24,-104.64086080852307,-42.77378463745117
25,-104.67267779300087,-44.2548459370931
26,-100.77662558304637,-38.87484995524088
27,-101.9362977680407,-41.59775416056315
28,-100.27654326589484,-41.294202168782554
29,-101.17081792731034,-39.141852060953774
30,-96.54673285233348,-28.00494639078776
31,-98.24857009084602,-36.90807215372721
32,-98.57206906770405,-41.14809799194336
33,-94.52864626834267,-44.04240798950195
34,-95.86321489434494,-43.011573791503906
35,-93.8218667883622,-42.15158335367838
36,-91.73207343252082,-41.40170033772787
37,-91.06725532130191,-48.16757329305013
38,-89.95729476527164,-44.50931167602539
39,-89.22779876307438,-44.07023239135742
40,-85.88963207445647,-28.80255889892578
41,-86.66430623907792,-40.88494555155436
42,-84.5642735330682,-45.71674346923828
43,-82.50074507060803,-45.919813791910805
44,-80.60883170679996,-46.47934214274088
45,-80.74005126953125,-46.4969736735026
46,-79.26454373409874,-49.18147532145182
47,-78.3259435452913,-46.65175755818685
48,-75.44204737010755,-49.23828252156576
49,-74.56802177429199,-49.02748107910156
50,-71.05179299806294,-22.904761632283527
51,-70.14677318773772,-36.074819564819336
52,-72.13397743827419,-51.841766357421875
53,-70.73012999484413,-50.4599494934082
54,-70.76053935603092,-50.346675872802734
55,-69.85007908469753,-48.01722081502279
56,-69.68892182801899,-47.5115598042806
57,-68.18568721570466,-48.519755045572914
58,-67.55787739000823,-48.19356155395508
59,-65.48793576893054,-39.253073374430336
60,-63.41212458359568,-16.915992736816406
61,-66.08912493053235,-34.174116134643555
62,-64.00833917918958,-41.73040517171224
63,-63.79788428858707,-43.64242808024088
64,-64.70584231928775,-44.85336430867513
65,-63.141608689960684,-38.40012232462565
66,-62.14991193068655,-38.10262552897135
67,-61.300389892176575,-37.39547983805338
68,-61.33229596991288,-41.856119791666664
69,-61.34832206525301,-37.89043680826823
70,-59.14298343658447,-16.336318333943684
71,-59.2122375588668,-35.20614051818848
72,-58.11483257695248,-33.532793045043945
73,-58.44034732015509,-38.2872060139974
74,-60.36740107285349,-40.94461568196615
75,-58.91713328110544,-38.818939208984375
76,-59.092774993494935,-35.35126241048177
77,-58.85709396161531,-35.351210276285805
78,-58.98923121000591,-33.86833508809408
79,-58.77880462847258,-34.0758482615153
80,-56.79654502868652,-10.696167627970377
81,-58.93497497157047,-33.05640411376953
82,-58.95030709316856,-33.64326032002767
83,-57.997464179992676,-28.711863199869793
84,-57.776169425562806,-28.70283317565918
85,-58.375701452556406,-28.026744842529297
86,-56.44022168611225,-25.486270904541016
87,-56.844905150564095,-25.526442845662434
88,-55.04148568605122,-31.660489400227863
89,-54.06652305000707,-34.86558278401693
90,-51.649368938646816,-21.767337481180828
91,-52.07806421581068,-31.54731814066569
92,-51.645845212434466,-33.322492599487305
93,-51.72333165218956,-33.599483489990234
94,-49.96568724983617,-26.460947036743164
95,-51.23370055148476,-29.837931315104168
96,-49.79828197077701,-38.31698226928711
97,-48.613940038179095,-34.251036961873375
98,-48.49684042679636,-29.100901921590168
99,-47.03922959377891,-30.234134674072266
100,-47.388121353952506,-16.959680557250977
101,-46.82326924173456,-36.63113594055176
102,-46.748863370795,-39.638651529947914
103,-47.00408925508198,-30.67865753173828
104,-45.654676186411,-31.182727813720703
105,-45.165927937156276,-38.74000676472982
106,-45.02397973913895,-37.401214599609375
107,-43.783876971194616,-39.078311920166016
108,-43.53366646013762,-39.272841135660805
109,-43.47505115207873,-40.52038319905599
110,-43.3600088922601,-21.093947728474934
111,-41.69657807601126,-36.767194747924805
112,-42.746023529454284,-32.755819956461586
113,-41.42918052171406,-38.602989196777344
114,-40.36475964596397,-32.31553967793783
115,-40.553733223362975,-37.04869397481283
116,-40.58964925063284,-43.41541544596354
117,-40.305353917573626,-40.720967610677086
118,-40.32352690947683,-33.9993782043457
119,-39.77114757738615,-33.88473256429037
120,-38.84254114251388,-24.50942389170329
121,-39.048119469692836,-36.26061248779297
122,-38.80247311843069,-41.05952072143555
123,-38.34481018467953,-36.72202173868815
124,-38.010541790410095,-40.26627985636393
125,-37.264154961234645,-35.7892812093099
126,-37.55233724493729,-34.77422650655111
127,-37.446918663225674,-38.83483759562174
128,-37.42321443557739,-33.58387565612793
129,-37.34346788807919,-33.60259755452474
130,-36.71862333699276,-17.25141779581706
131,-37.111728618019505,-28.953994115193684
132,-36.93314903660824,-31.262305577596027
133,-37.52442219382838,-29.396940231323242
134,-36.80241346359253,-27.0998109181722
135,-36.52195290515297,-30.03356997172038
136,-37.03519733328568,-26.070913950602215
137,-35.730894440098815,-30.34658432006836
138,-35.86435127258301,-21.329457600911457
139,-35.27889791287874,-29.27019691467285
140,-36.15346449299862,-19.27924124399821
141,-34.78606131202296,-27.575801213582356
142,-35.1068740643953,-28.11064847310384
143,-34.31886055594996,-28.20673942565918
144,-33.78018032877069,-30.633516947428387
145,-33.82588123020373,-27.323767979939777
146,-33.49643872913561,-29.963062922159832
147,-32.55879206406443,-30.521106719970703
148,-32.4784493697317,-28.97882906595866
149,-32.085964830298174,-30.843475341796875
150,-32.031746337288304,-23.87496058146159
151,-31.332969364367035,-31.0404535929362
152,-31.52371419103522,-30.89031219482422
153,-30.887807017878483,-31.813117345174152
154,-30.51870820396825,-25.413354237874348
155,-30.576797435158177,-28.869853337605793
156,-30.01609222512496,-30.24799092610677
157,-29.715489362415514,-29.192047754923504
158,-29.66832464619687,-32.706251780192055
159,-29.934584090584202,-29.569580078125
160,-30.086959111063106,-18.377493858337402
161,-29.22934687765021,-29.77581850687663
162,-29.10801581332558,-31.75885518391927
163,-28.72745697121871,-26.446915944417317
164,-29.25250808816207,-26.46778170267741
165,-29.126173872696725,-24.09568913777669
166,-28.932081021760638,-23.883752187093098
167,-28.819854033620732,-31.815121332804363
168,-29.10887612794575,-21.67437744140625
169,-28.662881876292982,-24.93217595418294
170,-30.698722563291852,-14.123966534932455
171,-28.0026805024398,-27.596165974934895
172,-27.90590773130718,-26.78148015340169
173,-28.46002001511423,-22.74643071492513
174,-28.044749586205732,-24.288401921590168
175,-28.115929478093197,-20.760351816813152
176,-28.40079312575491,-25.920712153116863
177,-28.17037165792365,-27.194683074951172
178,-28.587110318635638,-27.136685053507488
179,-28.351210744757402,-26.35863749186198
180,-27.39670974329898,-19.222352345784504
181,-27.707645742516767,-26.342968622843426
182,-27.87903921227706,-19.68429120381673
183,-27.98200341274864,-24.31696065266927
184,-27.96255417873985,-21.149840037027996
185,-27.666817313746403,-20.290942509969074
186,-27.651225491573935,-19.70031992594401
187,-27.39315768292076,-22.026168823242188
188,-27.72560977935791,-19.44011465708415
189,-27.6243997373079,-18.390769958496094
190,-28.911775538795872,-8.47208340962728
191,-26.73536074788947,-15.183814207712809
192,-27.165186605955427,-20.350269317626953
193,-27.00633528358058,-21.273141860961914
194,-26.87508231715152,-20.497042655944824
195,-26.77369539361251,-19.051144282023113
196,-27.17195029007761,-18.895782788594563
197,-26.65356485467208,-21.982160568237305
198,-26.82437414872019,-18.780803680419922
199,-26.73187087711535,-12.19166644414266
200,-26.800197977768747,-6.3264726003011065
201,-26.014220664375706,-21.217578252156574
202,-26.506620733361494,-11.093568404515585
203,-26.130667786849173,-22.75551478068034
204,-26.248381062557822,-23.733227729797363
205,-26.712522607100638,-16.075918833414715
206,-26.307751555191842,-17.83716869354248
207,-25.9336879127904,-10.077116171518961
208,-25.702612224378083,-16.994558970133465
209,-25.759500076896266,-14.57460880279541
210,-26.1072602899451,-9.834819992383322
211,-25.318851847397653,-14.815873146057129
212,-25.679341291126452,-13.319363276163736
213,-25.39341085835507,-9.939153989156088
214,-25.303010840164987,-19.208356857299805
215,-24.73394260908428,-13.373947660128275
216,-25.40869140625,-15.421528498331705
217,-25.14691300141184,-14.979606946309408
218,-25.638816933882865,-13.48221759001414
219,-24.853763680709037,-8.46401552359263
220,-25.367218394028512,-7.117502490679423
221,-25.102482343974867,-14.676849365234375
222,-24.790205478668213,-18.1119327545166
223,-24.325895936865557,-12.206438382466635
224,-24.914333305860822,-14.2100461324056
225,-24.438891385730944,-14.32008139292399
226,-24.726787767912214,-11.239723205566406
227,-24.41495825115003,-8.566919803619385
228,-24.310981524618047,-13.64421304066976
229,-24.299453961221797,-10.391046285629272
230,-24.62878101750424,-3.079652786254883
231,-24.160503337257786,-2.9266740481058755
232,-23.844832570929277,-15.297255198160807
233,-23.990423478578265,-6.682527860005696
234,-24.4943941768847,-14.892951647440592
235,-23.97849258623625,-12.183292547861734
236,-23.886433450799238,-13.17073424657186
237,-23.923365944310238,-10.112618287404379
238,-23.934596187190007,-12.584961891174316
239,-23.816611039011104,-12.341690381368002
240,-24.55877941533139,-11.267206827799479
241,-23.8046908629568,-7.381722807884216
242,-23.89443144045378,-13.133115450541178
243,-23.879123562260677,-11.072730700174967
244,-23.988816060517962,-6.978672981262207
245,-23.502707531577663,-6.170092264811198
246,-23.688951617793034,-15.344111760457357
247,-23.487493464821263,-16.884791056315105
248,-23.67439769443713,-11.884035587310791
249,-23.845056195008127,-10.544475873311361
250,-23.926396018580387,-0.5018297831217448
251,-23.08212588962756,-6.1785266399383545
252,-22.671669809441816,-14.017180760701498
253,-22.923264127028617,-13.769692103068033
254,-23.054334765986393,-8.322757403055826
255,-23.234370281821803,-6.932686646779378
256,-23.194529458096152,-12.337960561116537
257,-23.030672048267565,-16.825958887736004
258,-23.2209489471034,-13.79521115620931
259,-22.3503737449646,-8.580726146697998
260,-22.65337414490549,-4.938566207885742
261,-22.27962401038722,-10.691399892171225
262,-22.497546346564043,-12.893460432688395
263,-22.583469315579062,-14.519069989522299
264,-22.380384394997044,-9.45910652478536
265,-22.484273935619154,-4.612765282392502
266,-22.212716880597565,-10.938501834869385
267,-22.06917536886115,-7.065691630045573
268,-22.063765952461644,-8.046183904012045
269,-22.157618346967194,-8.490199009577433
270,-22.293931258352178,-0.14245183765888214
271,-21.949972980900814,-11.521362940470377
