,Dis,Gen
1,-40.64723365836673,-0.7576527040400833
2,-336.27063638192635,-43.37949514389038
3,-418.62361639517326,-143.4765167236328
4,-463.89452475088615,-181.1391830444336
5,-500.41605179398147,-167.13718795776367
6,-552.6483346444589,-116.81290054321289
7,-597.7339070638021,-48.34312295913696
8,-587.3966245298033,-44.798537254333496
9,-588.4304665459526,-102.01673889160156
10,-564.707602041739,-81.8076581954956
11,-554.6598589861834,-109.59454536437988
12,-557.5915937070494,-135.0756320953369
13,-557.6202853167498,-134.8911476135254
14,-549.9285654138636,-140.45695877075195
15,-538.1017105667679,-136.72679138183594
16,-536.967556141041,-142.6533088684082
17,-524.8004110830801,-153.4004135131836
18,-523.881339179145,-147.64847564697266
19,-519.1103464762369,-144.37127304077148
20,-489.2079857720269,-94.45946788787842
21,-486.9546503137659,-140.09031105041504
22,-481.6175517329463,-179.31623077392578
23,-461.3901191993996,-173.486572265625
24,-444.0431125782154,-191.9532012939453
25,-423.68212240713615,-196.30798721313477
26,-405.56810082329645,-201.38000106811523
27,-392.2795025860822,-223.1073341369629
28,-372.63502106843174,-237.2955551147461
29,-354.5274386935764,-240.90528106689453
30,-306.75925572713214,-166.25577545166016
31,-332.1925742537887,-220.7471046447754
32,-327.64890515362777,-250.0715789794922
33,-322.06935910825376,-274.0274963378906
34,-322.1466064453125,-265.9587860107422
35,-311.1386402271412,-260.3164291381836
36,-306.3054566559968,-275.5941619873047
37,-300.8697580408167,-244.74105072021484
38,-290.87537751374424,-253.5252227783203
39,-289.05147835060404,-256.3931121826172
40,-260.2892265319824,-160.3733720779419
41,-280.2832156993725,-204.01873016357422
42,-275.4432206330476,-242.58065032958984
43,-275.0633948997215,-225.1732292175293
44,-276.15543210064925,-227.64836883544922
45,-267.40315218325014,-222.3339958190918
46,-263.84345188847294,-239.68219375610352
47,-256.0309243378816,-214.11849975585938
48,-258.0181284304018,-209.5747833251953
49,-255.19131003485785,-205.36767578125
50,-246.35670259263782,-108.07547092437744
51,-249.60690915143047,-156.44671440124512
52,-253.29797405666775,-199.23310470581055
53,-248.03510312680845,-181.92623138427734
54,-244.94064811423974,-190.78298568725586
55,-245.87500240184642,-198.32952499389648
56,-242.44434582745586,-170.6403465270996
57,-243.3066977041739,-165.4955711364746
58,-236.974917517768,-166.1773796081543
59,-233.9296989440918,-161.0116844177246
60,-232.62082700376158,-93.0256404876709
61,-229.88479133888526,-139.53519248962402
62,-235.8376324971517,-178.3766098022461
63,-227.08218242503978,-148.39937591552734
64,-231.09510351110387,-147.75324630737305
65,-226.3067116913972,-153.50601768493652
66,-230.25136340105976,-152.78566551208496
67,-220.61399798923068,-137.25004959106445
68,-222.14326688978406,-148.3492546081543
69,-220.88430842646846,-151.51479530334473
70,-222.22923582571525,-63.400068283081055
71,-218.62718356097187,-138.03033065795898
72,-220.2330436706543,-142.64077758789062
73,-214.8555497063531,-146.8195457458496
74,-209.53611727114077,-155.55303955078125
75,-207.05867442378292,-151.79352188110352
76,-203.15510333025898,-135.51718711853027
77,-204.20089622780128,-145.18898391723633
78,-202.32993825276694,-128.52556037902832
79,-197.88103965476708,-145.79997634887695
80,-208.2171349702058,-23.271397590637207
81,-195.5538436041938,-135.417142868042
82,-192.9325126365379,-147.953519821167
83,-189.16723519784432,-133.46405601501465
84,-193.25729723329897,-142.0891456604004
85,-185.26130224157262,-163.45729064941406
86,-183.08485257184063,-137.09661102294922
87,-182.80569973698368,-169.48139572143555
88,-179.45226852982134,-140.19856643676758
89,-173.2875395880805,-143.53607749938965
90,-181.73285703305845,-70.43768310546875
91,-168.96196160493074,-144.7392349243164
92,-166.9422154603181,-156.3046875
93,-165.74460086116085,-146.92795181274414
94,-164.5444047715929,-151.41104125976562
95,-163.91492822435168,-156.60943984985352
96,-158.26244269476996,-148.72402381896973
97,-158.42598618401422,-155.68699645996094
98,-153.7709650816741,-152.359619140625
99,-156.93037315651222,-143.45714950561523
100,-162.45677064966273,-69.68068063259125
101,-148.57083553738065,-115.51749420166016
102,-147.03126342208296,-161.82062530517578
103,-149.70532685739022,-155.20537185668945
104,-147.69338028519243,-152.92293167114258
105,-148.9947954107214,-145.72184371948242
106,-146.54083802964954,-143.47412490844727
107,-143.99343342251248,-126.98337745666504
108,-140.88672157570167,-150.57867813110352
109,-142.0514599835431,-144.48753929138184
110,-147.22611589784975,-102.32561683654785
111,-137.77240717852558,-98.83060264587402
112,-139.60745776141133,-160.0643653869629
113,-137.83348055239077,-133.5521583557129
114,-137.60404862297906,-140.43243598937988
115,-136.87866097909432,-143.40255546569824
116,-131.70629642627858,-148.0881118774414
117,-135.25153795878092,-136.21799850463867
118,-130.19617243166323,-121.37957191467285
119,-130.07276386684842,-120.27854537963867
120,-143.3363954755995,-89.56348323822021
121,-123.73004016169796,-106.48168754577637
122,-126.73108404654043,-124.06789207458496
123,-125.68747880723741,-128.69833374023438
124,-124.43066257900662,-109.26673316955566
125,-129.98450455842195,-103.40669822692871
126,-125.1217057969835,-100.19798278808594
127,-123.71132440920229,-111.36652755737305
128,-125.04394926848235,-115.1243953704834
129,-124.3370839578134,-99.89125347137451
130,-143.9656319088406,-15.835133075714111
131,-121.2960981439661,-100.3210678100586
132,-122.10207826119883,-110.87453269958496
133,-122.5629808637831,-109.36955451965332
134,-122.64102624963832,-103.50263023376465
135,-122.27343107152868,-103.195556640625
136,-120.35489732247812,-98.02201652526855
137,-121.12760360152633,-96.54296112060547
138,-119.71288603323477,-100.59638595581055
139,-116.16578610738118,-92.23336219787598
140,-121.12074371620461,-69.41490077972412
141,-116.27591005961101,-92.61690998077393
142,-117.46687359280057,-102.13117027282715
143,-119.3728200064765,-76.3720235824585
144,-116.79512200532136,-76.1472806930542
145,-113.54452338042083,-80.83299541473389
146,-108.97584717362015,-105.28787040710449
147,-111.06177725615325,-93.63021469116211
148,-111.21886783175998,-88.53417205810547
149,-112.76355743408203,-90.76240348815918
150,-128.07214132944742,-30.430888175964355
151,-107.27044811955204,-81.6581802368164
152,-111.37306192186144,-65.19475841522217
153,-109.53463625024867,-88.80974006652832
154,-106.41979733219853,-66.86901473999023
155,-106.2133469051785,-60.84142208099365
156,-109.51510111490886,-73.26619911193848
157,-108.23508834838867,-85.63069248199463
158,-105.7875971617522,-82.58792686462402
159,-103.92266605518482,-52.549983978271484
160,-108.7415474432486,-39.43275451660156
161,-104.45824831503408,-48.61824607849121
162,-103.78475895634404,-71.78774452209473
163,-102.24149831136067,-81.3513011932373
164,-102.81094176680953,-62.4481897354126
165,-100.78861618041992,-65.21037197113037
166,-101.9652784842032,-69.5626049041748
167,-98.76825763561108,-67.60811042785645
168,-100.5119088490804,-88.49310493469238
169,-100.7272875044081,-61.337934494018555
170,-110.9414251115587,-24.572528839111328
171,-98.59546597798665,-65.57040214538574
172,-97.94964853922527,-71.97411346435547
173,-95.72362193354854,-74.45492553710938
174,-98.28088202299895,-69.5585765838623
175,-96.95758335678666,-56.35128307342529
176,-95.02077039082845,-48.517515659332275
177,-95.49495852435076,-63.133437156677246
178,-95.17331600189209,-59.40692472457886
179,-94.00459003448486,-54.00918197631836
180,-100.42070773795798,-68.45696592330933
181,-93.11765684904876,-55.503052711486816
182,-90.90581614882858,-42.46736812591553
183,-91.43420028686523,-61.18531799316406
184,-91.73105896843805,-86.17308616638184
185,-90.39861626095242,-84.60313987731934
186,-91.5567097487273,-66.74158573150635
187,-89.20970634177878,-67.82932567596436
188,-87.84581749527543,-53.58697462081909
189,-89.25882035714609,-73.21034717559814
190,-93.11766709221735,-24.200756549835205
191,-85.21387142605252,-75.3594856262207
192,-85.92336605213306,-74.11349105834961
193,-85.63312738913076,-64.13348770141602
194,-87.7976188659668,-80.29823398590088
195,-84.56781440311008,-46.79969596862793
196,-85.36565543987133,-70.37212753295898
197,-85.73831922036631,-73.77245807647705
198,-85.01242468092177,-60.67570972442627
199,-83.0934145892108,-73.93494606018066
200,-90.75180791925501,-49.990408301353455
201,-83.37321585196035,-62.12868118286133
202,-83.36196369594998,-61.41588306427002
203,-82.29071754879422,-76.08773136138916
204,-82.44731027108652,-70.75795841217041
205,-84.62383157235605,-73.18825149536133
206,-83.1089882320828,-77.56517314910889
207,-82.56702896400735,-70.31361770629883
208,-80.83998153827808,-52.75727367401123
209,-83.5164071895458,-58.111658573150635
210,-87.34369687680845,-44.94542741775513
211,-78.07811002378111,-44.86568546295166
212,-79.03432969693785,-71.2041654586792
213,-79.96751135366934,-61.506436347961426
214,-81.41862622013798,-63.05341148376465
215,-81.044077484696,-65.90157127380371
216,-78.04869778951009,-53.052517890930176
217,-79.59837404886882,-35.94346046447754
218,-80.00724743030689,-62.62747859954834
219,-79.28048261006673,-56.525946617126465
220,-95.30342850861726,-5.469451069831848
221,-76.24715201059978,-62.63309288024902
222,-77.87394188068531,-61.87999248504639
223,-77.93527119248002,-64.9080581665039
224,-77.10443563814516,-62.125471115112305
225,-78.1762864501388,-65.76662349700928
226,-79.1523035897149,-47.41030025482178
227,-77.03058656056722,-75.25629997253418
228,-78.38562054104275,-61.33018112182617
229,-76.77438209674976,-59.12717247009277
230,-78.22843092459219,-38.891568660736084
231,-75.99064883479366,-38.13067054748535
232,-77.48214499155681,-51.32808494567871
233,-77.60939573358607,-35.740296363830566
234,-76.63249482048883,-53.99405241012573
235,-76.0625526993363,-39.79966640472412
236,-74.66159424958406,-44.20333433151245
237,-74.7271519060488,-46.563156843185425
238,-76.23032651124177,-50.72606182098389
239,-74.88291433122423,-44.05402183532715
240,-80.26672250253183,-38.42290759086609
241,-73.35509409727874,-38.46548247337341
242,-75.02714930640326,-51.593968868255615
243,-75.16253164079454,-45.962846755981445
244,-76.20156987508138,-48.57295513153076
245,-74.99321425402606,-36.283724784851074
246,-75.32682196299235,-70.06662464141846
247,-75.43043320267289,-33.50111436843872
248,-73.74657683902316,-60.318973541259766
249,-74.2611887190077,-29.435714602470398
250,-77.42341723265471,-3.5922460556030273
251,-74.38969891159623,-63.09541606903076
252,-73.4041466889558,-41.37248706817627
253,-72.49549622005887,-47.11474657058716
254,-72.01426089251483,-58.10900926589966
255,-72.99433732915807,-50.38300037384033
256,-72.82713946589718,-57.63158702850342
257,-73.66895170565004,-42.50926208496094
258,-73.12380006578233,-53.038376808166504
259,-72.5707227565624,-30.357391834259033
260,-77.65614332976165,-39.00312912464142
261,-71.53583727942572,-30.093315839767456
262,-71.06237397370515,-18.189996987581253
263,-70.83108015413637,-45.337318420410156
264,-71.93269256309226,-34.22351312637329
265,-72.20210312030933,-51.847806453704834
266,-71.16996680365668,-24.31334924697876
267,-70.79972676877622,-45.49282264709473
268,-71.6448906439322,-51.173463344573975
269,-71.51427258385553,-32.50943422317505
270,-73.62992254892985,-19.978641152381897
271,-69.91664247159605,-65.51350975036621
272,-70.58117301375778,-25.363614559173584
273,-70.34992797286422,-47.061766624450684
274,-70.41534964243571,-38.468746185302734
275,-71.52043370847349,-43.195608615875244
276,-70.31191673985234,-22.264951944351196
277,-70.04012037206579,-22.168261766433716
278,-70.33775234222412,-18.943912029266357
279,-70.88009134928386,-38.99928569793701
280,-71.88757288897479,-24.237609326839447
281,-69.5806474685669,-22.399855852127075
282,-71.44826800734909,-54.85611057281494
283,-69.24641259511311,-37.3553102016449
284,-70.62824496516475,-29.79955291748047
285,-69.4257932945534,-45.51084780693054
286,-70.0936136952153,-49.16807746887207
287,-70.05695491366916,-34.27768325805664
288,-70.25630127942121,-42.32382106781006
289,-69.72841273413763,-30.80970335006714
290,-74.69334930843777,-5.667880535125732
291,-68.26373608907063,-53.75717377662659
292,-67.97658083173964,-13.631890416145325
293,-68.86240178567392,-11.850635975599289
294,-69.75016092371058,-46.576629638671875
295,-71.66892691011782,-53.49456977844238
296,-69.78610342520254,-14.237895965576172
297,-68.32835649561,-17.799188256263733
298,-69.339590355202,-39.53594636917114
299,-68.20946527410436,-35.737967014312744
300,-70.99774795108371,-16.326735198497772
301,-68.86621948524758,-35.99538469314575
302,-68.30124092102051,-41.815208435058594
303,-68.60379487496836,-41.37065887451172
304,-69.12224172662806,-25.12642192840576
305,-68.45752712532327,-17.938318759202957
306,-68.50883091820612,-31.239638328552246
307,-67.91586964218705,-33.76185989379883
308,-68.0654747221205,-17.55788505077362
309,-68.2748537770024,-27.517300844192505
310,-73.6246482707836,-39.63959574699402
311,-65.92535944338198,-28.14264750480652
312,-67.73643564294886,-42.92766451835632
313,-66.92250114017062,-20.249766767024994
314,-68.46398848074453,-39.692746073007584
315,-66.65501880645752,-29.674972534179688
316,-67.94410486574526,-28.2311532497406
317,-68.75274637010362,-37.96364641189575
318,-66.85414660418475,-22.476142406463623
319,-66.72245516600432,-33.684765338897705
320,-70.37800898375335,-16.386838912963867
321,-66.46946299517596,-26.40715855360031
322,-67.46965546078152,-21.650948643684387
323,-67.8624614433006,-27.11856746673584
324,-67.49586871818259,-13.564065217971802
325,-65.77395704057481,-16.522929042577744
326,-66.87904103597005,-39.719473123550415
327,-67.53802348949291,-27.689270496368408
328,-66.95166224020498,-15.873309314250946
329,-65.84920892009029,-26.76088857650757
330,-68.3135639473244,-26.040446758270264
331,-65.60418814199942,-1.7590436935424805
332,-66.07022868262396,-25.48319911956787
333,-67.244153658549,-39.27316379547119
334,-68.15354488514087,-22.2516827583313
335,-66.0282166092484,-30.1926486492157
336,-64.90722101706045,-37.607125759124756
337,-65.37223706422029,-25.326082944869995
338,-67.7653145260281,-42.1400032043457
339,-65.80514971415202,-28.383284628391266
340,-65.99703244809751,1.6425931453704834
341,-65.87635849140308,-43.28374767303467
