,Dis,Gen
1,9.871887266635895,1.9845487258862704e-05
2,7.138796091079712,-0.02675566077232361
3,-6.65601646900177,-0.29446113109588623
4,-41.66939556598663,-1.732257604598999
5,-96.7011513710022,-6.4163408279418945
6,-155.47406911849976,-17.933326721191406
7,-194.15951251983643,-34.76683807373047
8,-221.18922424316406,-48.067115783691406
9,-241.8808717727661,-57.82735061645508
10,-245.33092212677002,-65.6954345703125
11,-260.4618139266968,-68.1173095703125
12,-264.8691921234131,-75.84690856933594
13,-267.3831367492676,-83.28771209716797
14,-270.451135635376,-87.18147277832031
15,-274.8006172180176,-92.0103759765625
16,-279.29541873931885,-101.3593978881836
17,-285.911376953125,-106.18795776367188
18,-289.88402366638184,-116.85160827636719
19,-293.5757083892822,-128.30532836914062
20,-287.6035575866699,-130.5173797607422
21,-290.7988681793213,-132.8740997314453
22,-290.3530387878418,-135.16212463378906
23,-289.6390256881714,-142.35032653808594
24,-290.920015335083,-146.11009216308594
25,-288.91185188293457,-148.88136291503906
26,-291.2652950286865,-152.12332153320312
27,-290.2180805206299,-155.15367126464844
28,-291.02129554748535,-156.8839569091797
29,-290.3130111694336,-167.32176208496094
30,-286.31983375549316,-169.93804931640625
31,-287.45324325561523,-169.22560119628906
32,-287.9871826171875,-173.64398193359375
33,-288.32092475891113,-176.44798278808594
34,-287.9108295440674,-175.96640014648438
35,-288.1882915496826,-178.73667907714844
36,-287.4162292480469,-172.2781524658203
37,-285.2994956970215,-176.4459228515625
38,-286.71555519104004,-178.82594299316406
39,-284.550181388855,-173.8997344970703
40,-282.6994857788086,-170.28761291503906
41,-283.4535655975342,-172.06468200683594
42,-282.7050380706787,-176.63194274902344
43,-275.52428817749023,-174.5767059326172
44,-275.2999391555786,-173.76463317871094
45,-278.0137758255005,-176.0105743408203
46,-273.51601696014404,-181.04061889648438
47,-270.2050619125366,-177.0191650390625
48,-268.4518394470215,-176.08370971679688
49,-267.6891841888428,-182.97720336914062
50,-265.1416368484497,-175.0534210205078
51,-264.62207984924316,-183.06153869628906
52,-262.2991666793823,-184.15313720703125
53,-262.59976291656494,-182.77952575683594
54,-259.1303024291992,-179.875244140625
55,-259.3539705276489,-182.6678009033203
56,-257.26708984375,-183.30516052246094
57,-256.59243392944336,-179.68399047851562
58,-257.30407524108887,-179.21788024902344
59,-257.5395812988281,-184.44891357421875
60,-255.87807655334473,-179.87828063964844
61,-252.83291912078857,-177.8820343017578
62,-256.12120628356934,-180.4718475341797
63,-252.42752265930176,-176.09115600585938
64,-253.46838760375977,-172.22482299804688
65,-249.47411918640137,-178.98532104492188
66,-252.315505027771,-183.3075714111328
67,-248.92431449890137,-187.4420623779297
68,-250.4060878753662,-182.9191131591797
69,-246.19102573394775,-185.68284606933594
70,-244.16488552093506,-179.76492309570312
71,-251.27659702301025,-183.73545837402344
72,-243.29979991912842,-189.66790771484375
73,-241.20025825500488,-179.91220092773438
74,-247.9843225479126,-188.64491271972656
75,-236.87334442138672,-188.0176544189453
76,-239.77370738983154,-180.03948974609375
77,-236.38394165039062,-187.24929809570312
78,-237.50293922424316,-187.03872680664062
79,-241.95697784423828,-188.63795471191406
80,-239.93278121948242,-183.34117126464844
81,-230.75619220733643,-189.69796752929688
82,-227.04476833343506,-183.6634979248047
83,-228.29569911956787,-186.68060302734375
84,-232.2643051147461,-193.5575408935547
85,-228.08459854125977,-192.21881103515625
86,-227.0434513092041,-192.47750854492188
87,-228.98095417022705,-195.26463317871094
88,-229.30395221710205,-188.45901489257812
89,-227.02807235717773,-189.3889923095703
90,-223.40239334106445,-192.6056671142578
91,-221.3118543624878,-181.2636260986328
92,-222.77435970306396,-196.1455078125
93,-215.76530647277832,-186.2032470703125
94,-222.57801055908203,-195.2977294921875
95,-222.10950660705566,-193.35580444335938
96,-222.9127082824707,-190.8727569580078
97,-223.3696117401123,-200.23092651367188
98,-214.5182294845581,-195.3166046142578
99,-216.89237213134766,-197.66163635253906
100,-217.61060237884521,-193.17767333984375
101,-214.24117755889893,-194.42071533203125
102,-210.81868648529053,-188.3004608154297
103,-208.12722396850586,-194.08926391601562
104,-211.48313426971436,-197.29861450195312
105,-208.91445064544678,-199.25787353515625
106,-204.62233543395996,-186.57240295410156
107,-209.1679344177246,-208.95870971679688
108,-211.1691255569458,-187.0576629638672
109,-209.74703979492188,-199.00027465820312
110,-211.71670627593994,-195.38389587402344
111,-207.6012086868286,-191.06045532226562
112,-209.27967357635498,-197.35012817382812
113,-212.4172239303589,-200.70574951171875
114,-201.5358486175537,-197.44825744628906
115,-203.79980850219727,-182.00106811523438
116,-200.52019786834717,-192.32418823242188
117,-204.33073902130127,-175.95855712890625
118,-204.3065996170044,-185.5679168701172
119,-200.65564632415771,-194.0657958984375
120,-199.5992784500122,-189.91171264648438
121,-199.85729694366455,-192.65524291992188
122,-200.80846405029297,-182.8993682861328
123,-197.36345100402832,-180.9645538330078
124,-198.70669174194336,-184.90707397460938
125,-196.7282772064209,-181.7688446044922
126,-190.0155086517334,-188.88343811035156
127,-194.21613121032715,-184.58213806152344
128,-194.4648380279541,-183.1998291015625
129,-198.7715892791748,-188.05020141601562
130,-195.779465675354,-182.29104614257812
131,-192.35181427001953,-184.25401306152344
132,-196.0231170654297,-187.0383758544922
133,-188.91647815704346,-173.8086700439453
134,-194.6412172317505,-179.34352111816406
135,-195.450119972229,-180.0218963623047
136,-193.9357852935791,-167.9779510498047
137,-189.87925148010254,-168.54696655273438
138,-195.40709018707275,-173.20013427734375
139,-190.4150333404541,-177.54388427734375
140,-189.58409595489502,-167.0046844482422
141,-186.60827255249023,-172.96693420410156
142,-188.38745784759521,-173.05105590820312
143,-188.206449508667,-165.319580078125
144,-186.74139785766602,-174.0691375732422
145,-181.88252353668213,-169.45516967773438
146,-188.95684432983398,-175.43280029296875
147,-185.203143119812,-184.0838623046875
148,-183.21312141418457,-166.29617309570312
149,-179.59090518951416,-149.38584899902344
150,-184.70587158203125,-164.5184783935547
151,-178.2026481628418,-178.49020385742188
152,-180.4777717590332,-155.27413940429688
153,-173.24028301239014,-176.0366973876953
154,-171.56689929962158,-178.16342163085938
155,-169.87917518615723,-168.9003143310547
156,-167.33019828796387,-174.7624969482422
157,-171.0872392654419,-180.54339599609375
158,-172.20594692230225,-179.46249389648438
159,-166.27785873413086,-188.72116088867188
160,-170.19246864318848,-149.95606994628906
161,-170.8887481689453,-191.80740356445312
162,-164.56000137329102,-184.76553344726562
163,-167.03380393981934,-167.5957489013672
164,-170.7717800140381,-193.5723876953125
165,-160.1442470550537,-177.01365661621094
166,-168.08695697784424,-186.81459045410156
167,-163.30342388153076,-174.36273193359375
168,-159.78468704223633,-173.52992248535156
169,-162.13239669799805,-181.26837158203125
170,-163.4831075668335,-182.23655700683594
171,-161.61980628967285,-184.09136962890625
172,-156.78479099273682,-167.22015380859375
173,-158.54911994934082,-174.6733856201172
174,-159.8859519958496,-188.9712677001953
175,-153.6205005645752,-171.74224853515625
176,-151.93413829803467,-183.5154266357422
177,-156.3512110710144,-185.3738250732422
178,-149.9156732559204,-192.6205291748047
179,-150.83557653427124,-179.90797424316406
180,-147.3529758453369,-177.826416015625
181,-147.23830318450928,-179.7437744140625
182,-151.65745306015015,-173.11734008789062
183,-150.677396774292,-194.49913024902344
184,-149.0831298828125,-198.1463165283203
185,-148.30425834655762,-177.5802001953125
186,-146.2346897125244,-192.7914581298828
187,-147.72102069854736,-192.82464599609375
188,-139.07176399230957,-166.9862518310547
189,-143.42477130889893,-168.73947143554688
190,-137.8313536643982,-167.21888732910156
191,-139.81078910827637,-178.09811401367188
192,-133.90401649475098,-184.6224365234375
193,-133.22054624557495,-181.76736450195312
194,-140.11372804641724,-187.79318237304688
195,-133.80620956420898,-186.6855926513672
196,-135.61475706100464,-183.33676147460938
197,-134.47670316696167,-184.80747985839844
198,-134.3230743408203,-171.9959259033203
199,-129.85242557525635,-170.8367462158203
200,-128.45968961715698,-191.42398071289062
201,-133.76963090896606,-182.20703125
202,-133.28623247146606,-187.99929809570312
203,-128.0488715171814,-201.53668212890625
